	Note ESG	1
RAK Properties PJSC	23.5	
Rapid Synergy Bhd.	19.8	
Rayonier, Inc.	7.7	
RE/MAX Holdings, Inc.	9.7	
Ready Capital Corp.	18.5	
Realia Business SA	22.6	
Realty Income Corp.	15.5	
Red Star Macalline Group Co., Ltd.	19.9	
Redefine Properties Ltd.	6.5	
Redfin Corporation	11.7	
Redwood Trust, Inc.	16.5	
Regency Centers Corp.	11.3	
Region Group	14.6	
Regional REIT Ltd.	20.4	
REIT 1 Ltd.	23.0	
Reitir Fasteignafelag hf	21.5	
Relo Group, Inc.	14.7	
Residential Secure Income Plc	14.7	
Resilient REIT Ltd.	19.3	
Retail Estates NV	17.6	
Retail Opportunity Investments Corp.	16.6	
Retal Urban Development Co.	23.2	
Rexford Industrial Realty, Inc.	12.2	
RioCan Real Estate Investment Trust	13.9	
RiseSun Real Estate Development Co., Ltd.	23.6	
Rithm Capital Corp.	14.7	
Riyad REIT	21.8	
RL Commercial REIT, Inc.	21.8	
RLJ Lodging Trust	16.9	
Road King Infrastructure Ltd.	20.1	
Robinsons Land Corp.	22.8	
Robot Home, Inc.	15.8	
Rongan Property Co., Ltd.	24.3	
RPT Realty	14.1	
Ruentex Development Co., Ltd.	23.6	
Rural Funds Group	16.6	
Ryman Hospitality Properties, Inc.	16.3	
S IMMO AG	12.1	
S P Setia Bhd.	13.2	
Sabra Health Care REIT, Inc.	13.0	
Safehold, Inc.	15.5	
Safestore Holdings Plc	12.2	
Sagax AB	18.6	
Sakura Development Co., Ltd.	19.4	
